ds_dir,code,description
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/agessc/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/bigthetao/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/masscello/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/masso/gn,time_1945-2007,missing files before 1945
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/obvfsq/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/so/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/thetao/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/umo/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/uo/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/vmo/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/vo/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/wo/gn,noUse,some of the files are on a different vertical grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/SImon/siconca/gr,noUse,half of files are gr- the other are still gn
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/ts/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/sfcWind/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/pr/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/psl/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/hfls/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/vas/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/rsut/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/tas/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/uas/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/rsdt/gr,override,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/hur/gr,noUse,multiple problems
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/hus/gr,noUse,multiple problems
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/ps/gr,noUse,first netcdf file ps_Amon_EC-Earth3_historical_r3i1p1f1_gr_185001-185012.nc is bad
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Amon/rlut/gr,noUse,first netcdf file rlut_Amon_EC-Earth3_historical_r3i1p1f1_gr_185001-185012.nc is bad
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/Lmon/mrso/gr,noUse,indexes along dimension 'lat' are not equal
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/Amon/pr/gr,noUse,pr_Amon_EC-Earth3_historical_r20i1p1f1_gr_185201-185212.nc is bad
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/Amon/hus/gr,noUse,multiple missing files
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/Amon/hur/gr,noUse,HDF errors
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r21i1p1f1/Amon/sfcWind/gr,noUse,longitudes don't match - randomly staggered to half points
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/hus/gr,noUse,staggered lon grid: after 2008 the files do not concatenate
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/vas/gr,noUse,staggered lon grid: after 2008 the files do not concatenate
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/rsdt/gr,noUse,staggered lon grid: after 2008 the files do not concatenate
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/psl/gr,noUse,staggered lon grid
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r13i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r15i1p1f1/Amon/tas/gr,noSizeCheck,incorrect expected size
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r21i1p1f1/Amon/wap/gr,noUse,longitudes don't match - randomly staggered to half points
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/hfls/gr,noUse,after 2008 the files do not concatenate
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/tasmin/gr,noUse,longitudes don't match - randomly staggered to half points
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/uas/gr,noUse,after 2008 the files do not concatenate
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/wap/gr,noUse,
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Amon/clt/gr,noUse,longitudes don't match - randomly staggered to half points
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/day/all/gr,noUse,some are on gr and some on gn - e.g. compare snw 1935 with 1936. KeyError: 'lat'
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r3i1p1f1/day/all/gr,noUse,lats inconsistent
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/all/gr,noUse,some sort of HDF error
