experiment_id,experiment,activity_id,tier,min_number_yrs_per_sim,start_year,end_year
land-crop-noFert,historical land-only with no fertilizer,['LUMIP'],2,165,1850 or 1700,2014
land-crop-noIrrig,historical land-only with no irrigation,['LUMIP'],2,165,1850 or 1700,2014
land-crop-noIrrigFert,historical land-only with managed crops but with irrigation and fertilization held constant,['LUMIP'],2,165,1850 or 1700,2014
land-hist,historical land-only,"['LS3MIP', 'LUMIP']",1,165,1850 or 1700,2014
land-hist-altLu1,historical land-only alternate land-use history,['LUMIP'],2,165,1850 or 1700,2014
land-hist-altLu2,historical land-only alternate land use history,['LUMIP'],2,165,1850 or 1700,2014
land-hist-altStartYear,historical land-only alternate start year,['LUMIP'],1,165,1850 or 1700,2014
land-hist-cruNcep,as land-hist with CRU-NCEP forcings,['LS3MIP'],2,165,1850,2014
land-hist-princeton,as land-hist with Princeton forcings,['LS3MIP'],2,165,1850,2014
land-hist-wfdei,as land-hist with WFDEI forcings,['LS3MIP'],2,165,1850,2014
land-noFire,historical land-only with no human fire management,['LUMIP'],2,165,1850 or 1700,2014
land-noLu,historical land-only with no land-use change,['LUMIP'],1,165,1850 or 1700,2014
land-noPasture,historical land-only with constant pastureland,['LUMIP'],2,165,1850 or 1700,2014
land-noShiftCultivate,historical land-only with shifting cultivation turned off,['LUMIP'],2,165,1850 or 1700,2014
land-noWoodHarv,historical land-only with no wood harvest,['LUMIP'],2,165,1850 or 1700,2014
land-ssp126,future ssp1-2.6 land only,['LS3MIP'],1,86,2015,2100
land-ssp434,future ssp4-3.4 land only,['LS3MIP'],2,86,2015,2100
land-ssp585,future ssp5-8.5 land only,['LS3MIP'],1,86,2015,2100
lfmip-initLC,"initialized from ""historical"" run year 1980, but with land conditions initialized from pseudo-observations",['LS3MIP'],2,35,1980,2014
lfmip-pdLC,"prescribed land conditions (from current climate climatology) and initialized from ""historical"" run year 1980",['LS3MIP'],1,121,1980,2100
lfmip-pdLC-cruNcep,as LFMIP-pdLC with Land-Hist-cruNcep,['LS3MIP'],2,121,1980,2100
lfmip-pdLC-princeton,as LFMIP-pdLC with Land-Hist-princeton,['LS3MIP'],2,121,1980,2100
lfmip-pdLC-wfdei,as LFMIP-pdLC with Land-Hist-wfdei,['LS3MIP'],2,121,1980,2100
