variable_id,long_name,units,table_id
clwvi,Condensed Water Path,kg m-2,CF3hr
clwvi,Condensed Water Path,kg m-2,E3hr
clwvi,Condensed Water Path,kg m-2,CFday
clwvi,Condensed Water Path,kg m-2,Amon
clwvic,Convective Condensed Water Path,kg m-2,Eday
clwvic,Convective Condensed Water Path,kg m-2,Emon
cly,Total Inorganic Chlorine Volume Mixing Ratio,mol mol-1,AERmonZ
cnc,Canopy Covered Area Percentage,%,Eday
co,CO volume mixing ratio,mol mol-1,AERmon
co2,Mole Fraction of CO2,mol mol-1,AERmon
co2,Mole Fraction of CO2,mol mol-1,Amon
co23D,3D field of transported CO2,kg kg-1,Emon
co2mass,Total Atmospheric Mass of CO2,kg,day
co2mass,Total Atmospheric Mass of CO2,kg,Amon
co2s,Atmosphere CO2,1e-06,Emon
co3,Carbonate Ion Concentration,mol m-3,Oyr
co3,Carbonate Ion Concentration,mol m-3,Omon
co3abio,Abiotic Carbonate Ion Concentration,mol m-3,Omon
co3abio,Abiotic Carbonate Ion Concentration,mol m-3,Oyr
co3abioos,Surface Abiotic Carbonate Ion Concentration,mol m-3,Omon
co3nat,Natural Carbonate Ion Concentration,mol m-3,Omon
co3nat,Natural Carbonate Ion Concentration,mol m-3,Oyr
co3natos,Surface Natural Carbonate Ion Concentration,mol m-3,Omon
co3os,Surface Carbonate Ion Concentration,mol m-3,Omon
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mol m-3,Oyr
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mol m-3,Omon
co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mol m-3,Omon
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mol m-3,Omon
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mol m-3,Oyr
co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mol m-3,Omon
cod,cloud optical depth,1,AERday
cod,Cloud Optical Depth,1,AERmon
conccmcn,Number Concentration Coarse Mode Aerosol,m-3,Emon
conccn,Aerosol Number Concentration,m-3,Emon
concdust,Concentration of Dust,kg m-3,Emon
concnmcn,Number Concentration of Nucleation Mode Aerosol,m-3,Emon
